d_o_mm,n_orf,PF_tau,PF_gain,Cd0,CdInf,p_exp,Lori_mm,hA_W_perK,Dp_mm,d_w_mm,D_m_mm,n_turn,mu_ref,A_o,Qcap_big
2.73164476464112,5,0.116102636039304,1.00621223222357,0.500219870645498,0.840822100588364,1.20319152900738,152.408239393976,584.371494804966,162.562735853749,12.7512160800495,96.5317607089789,8,1.22000053493077,2.93027464904231e-05,0.0377935755414239
2.73336858927748,5,0.115611199576548,1.10044164664568,0.50322839629961,0.835923069799349,1.19509319501164,146.430506695764,586.250094318758,163.149538936974,12.7529864408729,96.1059085571288,8,1.227707535386,2.93397415896425e-05,0.0376208090074958
2.71737978915948,5,0.113972202106003,1.0281347193437,0.503006426596548,0.839588455037133,1.18110107420103,145.06032457892,558.095534555533,163.105116167121,12.998411808735,96.4936126184142,8,1.23628355493749,2.89975007023064e-05,0.0373450083328573
2.72964205445692,5,0.112300235060207,1.01132478247343,0.503860766581917,0.839141484517222,1.20108804847744,145.872318014198,570.49131634737,162.694216130844,12.8315121752523,93.6457397372816,8,1.22659476208052,2.92597955202908e-05,0.0376627487895951
2.71955177396143,5,0.114245633015416,1.02305734961774,0.503001938636097,0.839388584995889,1.18131340380488,145.048687619797,554.264811664112,163.480480879045,13.0002492002878,96.2054119330424,8,1.23640434560031,2.90438742726733e-05,0.0373958269942378
2.73166555636214,5,0.116469015229839,1.00465180053306,0.50132514814974,0.839427827911239,1.18921317623172,151.823461081508,579.569213391603,162.306604240611,12.9935332005857,92.5493620388285,8,1.22450452549511,2.93031925636875e-05,0.0377314796438451
2.73637046194737,5,0.108846464624773,1.01134528979676,0.503434795650871,0.839096916796602,1.20115042415227,145.6897387437,559.80952930224,163.085205606643,12.8355917588217,94.1552320916061,8,1.2313020954407,2.94042206589472e-05,0.037846640374349
2.71962117821288,5,0.115465491790858,1.07376546118749,0.503154900774832,0.837993659770468,1.18755012404003,145.599801912692,580.00305976706,163.444999951148,12.8667116321271,96.0715593996433,8,1.22900339544721,2.90453567184896e-05,0.0373355868755378
2.72637841667013,5,0.114727107732194,1.01578806054013,0.502580020370946,0.838752982844086,1.18158320942609,146.536193041909,555.607728108141,163.467548490124,12.9666707783298,95.8006556483934,8,1.23078808530432,2.91898696581516e-05,0.0375553460728049
2.73327757183233,5,0.114575270308261,1.0221833659275,0.50305339536894,0.838686554992612,1.18759974630902,145.879995530541,569.104378113635,163.090233280239,13.1232545759837,96.052937583346,8,1.22465167269183,2.93377876754355e-05,0.0377426662761375
