d_o_mm,n_orf,PF_tau,PF_gain,Cd0,CdInf,p_exp,Lori_mm,hA_W_perK,Dp_mm,d_w_mm,D_m_mm,n_turn,mu_ref,f1,f2,pen,pen_dP,pen_Qcap,pen_cav,pen_T,pen_mu,x10_max_damperli,a10abs_max_damperli,dP95_worst,Qcap95_worst,cav_pct_worst,T_end_worst,mu_end_worst,PF_p95_worst,Q_q50_worst,Q_q95_worst,dP_orf_q50_worst,dP_orf_q95_worst,T_oil_end_worst,T_steel_end_worst,energy_tot_sum,E_orifice_sum,E_struct_sum,E_ratio,P_mech_sum
2.73164476464112,5,0.116102636039304,1.00621223222357,0.500219870645498,0.840822100588364,1.20319152900738,152.408239393976,584.371494804966,162.562735853749,12.7512160800495,96.5317607089789,8,1.22000053493077,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4735638710814,1.00719095812608,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4735638710814,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.73698397537081,5,0.108646259139148,1.02476061785574,0.503196940247307,0.838071690150607,1.20136297772432,145.56218303047,558.376169118306,163.206782903444,12.8439896668973,96.6416116898948,8,1.23201897069815,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4832641940892,1.00706395512494,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4832641940892,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.72919441631845,5,0.118363646810817,1.10767343457978,0.503871757708611,0.82542035904749,1.19428779440617,152.598771310532,646.294344893998,163.121921567879,12.13716545021,95.3089432776506,6,1.22389540796081,3.99339215449087,0.00393763065201366,0,0,0,0,0,0,0.0919017529503669,5.96652726214662,12476971.4327201,0.0688040321194398,0,38.45182552202,1.00747562904003,1728692.61824367,0.00211259136469206,0.00269695354412411,7743235.28425211,12476971.4327201,38.45182552202,0,26645379.4410511,21059308.6437551,5586070.79729606,3.76996808811461,0
2.72541073135495,5,0.112433570330589,1.01226259215561,0.502709650201107,0.838192588747869,1.17724357480067,144.562004956933,549.149980217253,162.798692380138,12.7676239710686,93.1970573420568,8,1.22816623976862,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4832641940892,1.00706395512494,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4832641940892,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.73336858927748,5,0.115611199576548,1.10044164664568,0.50322839629961,0.835923069799349,1.19509319501164,146.430506695764,586.250094318758,163.149538936974,12.7529864408729,96.1059085571288,8,1.227707535386,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4735638710814,1.00719095812608,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4735638710814,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.72339002087114,5,0.114347693208344,1.01647912083331,0.502992437980747,0.837584676763738,1.18153446618103,145.025696066049,548.244387221421,163.702112773434,13.0980299360868,95.3787308210664,8,1.23653061699455,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4832641940892,1.00706395512494,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4832641940892,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.73893833754052,5,0.115383917136655,0.994721991112298,0.50226043869336,0.836541773065021,1.18773963207509,146.964676203032,586.442330331709,162.321729463017,12.7641231280372,94.4425508991667,8,1.22625479696359,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4735638710814,1.00719095812608,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4735638710814,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.73602176412604,5,0.115524580929238,1.02010821274645,0.501930198771725,0.838342401235427,1.19497534626456,148.918917126379,586.547263135706,162.587716418727,12.7704471758139,95.7561528810286,8,1.22692027048616,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4735638710814,1.00719095812608,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4735638710814,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.7364730131303,5,0.114388199388132,0.989647055168809,0.502993481517235,0.839050941741276,1.17948788532558,146.991870751647,574.915677949713,162.189655449268,13.1127591192069,92.8378745388651,8,1.23843349883799,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4735638710814,1.00719095812608,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4735638710814,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.71737978915948,5,0.113972202106003,1.0281347193437,0.503006426596548,0.839588455037133,1.18110107420103,145.06032457892,558.095534555533,163.105116167121,12.998411808735,96.4936126184142,8,1.23628355493749,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4832641940892,1.00706395512494,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4832641940892,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
