d_o_mm,n_orf,PF_tau,PF_gain,Cd0,CdInf,p_exp,Lori_mm,hA_W_perK,Dp_mm,d_w_mm,D_m_mm,n_turn,mu_ref,f1,f2,PFA_w,IDR_w,pen,pen_dP,pen_Qcap,pen_cav,pen_T,pen_mu,x10_max_damperli,a10abs_max_damperli,dP95_worst,Qcap95_worst,cav_pct_worst,T_end_worst,mu_end_worst,PF_p95_worst,Q_q50_worst,Q_q95_worst,dP_orf_q50_worst,dP_orf_q95_worst,T_oil_end_worst,T_steel_end_worst,energy_tot_sum,E_orifice_sum,E_struct_sum,E_ratio,P_mech_sum
2.35789035333262,7,0.254385145370873,3.80643955721736,0.550067712310451,1.03798662995221,1.29311470239149,148.399866563061,606.463142426602,249.941276140214,12.5602987444181,105.2772186672,8,1.34177665234249,6.6409578491028,0.00314097453710994,6.6409578491028,0.00314097453710994,0,0,0,0,0,0,0.0893316029905707,12.6704565313539,39017595.4914009,0.108517765784241,0,74.7160205187223,0.707368399674816,19871187.4220323,0.00500755020252836,0.00525609690911961,35579659.3378094,39017595.4914009,74.7160205187223,0,260231005.299207,226984675.549135,33246329.7500728,6.82736041107327,0
2.42547377896432,6,0.36460450668185,1.86199856687501,0.536106718637713,0.939454350692471,1.17020452304446,120.333745272518,526.168257545444,241.78994926883,14.1833729706181,98.3733161186737,11,1.21569224405582,5.06385949890808,0.00357959677347543,5.06385949890808,0.00357959677347543,0,0,0,0,0,0,0.0979030549942883,8.99096483154633,45358859.0234355,0.129538747244969,0,69.3757150316317,0.67397467792672,12414659.0649919,0.00475578785885709,0.0052833135031999,37224646.8199608,45358859.0234355,69.3757150316317,0,202330639.025016,173091167.634598,29239471.3904177,5.91977759527224,0
2.31670068965147,7,0.233943869170898,3.73092184168124,0.611944027393028,1.06529774295283,1.30635647387774,151.935503307549,572.724222001038,249.980916038052,13.2089347346494,107.164227143832,9,1.33867297792755,6.85536723407985,0.00311381629459662,6.85536723407985,0.00311381629459662,0,0,0,0,0,0,0.0893616364466785,13.0457590342889,34717255.0683877,0.109864291912988,0,74.2857239510622,0.7113364040771,20568672.0523209,0.0050041220932439,0.00524432342076261,31737249.4031813,34717255.0683877,74.2857239510622,0,261403386.367854,227809076.141706,33594310.2261481,6.78118034298531,0
2.43881286810949,4,0.307823832868592,2.13317186764506,0.573030936667474,0.994192943508164,1.32204862292039,127.293504256506,579.320662653983,192.040661260239,13.1885453106805,105.004860755787,9,1.19608983371442,4.68226971006227,0.00408735041030467,4.68226971006227,0.00408735041030467,0,0,0,0,0,0,0.0992530313808376,7.398656878821,41745297.4996643,0.122763288596329,0,61.203874148916,0.749515105798223,8898266.97340322,0.00302801617799274,0.00351553385695193,31437523.5919072,41745297.4996643,61.203874148916,0,111215157.267749,85369458.8967143,25845698.371035,3.30304322487904,0
2.43264999542305,4,0.2071739841675,2.15059699554292,0.561664532573666,0.994291421787181,1.37140307017171,137.287697566678,554.473316344425,180.147599535923,13.350830585141,105.83576185236,9,1.20706822791619,4.64270797548361,0.00420448710469156,4.64270797548361,0.00420448710469156,0,0,0,0,0,0,0.0982512821560423,7.23003289747122,35194209.5468322,0.109868478565608,0,58.1372171980111,0.779999292164603,8293507.10929396,0.0026713735658732,0.00314626921961378,25723948.5960976,35194209.5468322,58.1372171980111,0,94229268.3303507,69032781.0095659,25196487.3207848,2.7397779750283,0
2.32454612269165,7,0.226342629212943,3.87765125835489,0.613231210277844,1.06484386131697,1.2958382258962,149.249132019254,604.066734119903,249.986882196453,12.4615760687788,110.593508697285,8,1.3411230944624,6.87176357830343,0.00310968417946851,6.87176357830343,0.00310968417946851,0,0,0,0,0,0,0.0893770348230238,13.0551523635379,34760280.2337218,0.11090726431657,0,73.6990175994912,0.716782640015517,20646021.6065186,0.00500340899780444,0.00524463159099491,31762502.8203182,34760280.2337218,73.6990175994912,0,258887816.476276,225305723.684256,33582092.7920197,6.70910312468068,0
2.32168201502292,7,0.223062696310645,3.96320060341459,0.597629763632266,1.06179795290068,1.28895338396924,150.626470115553,605.223574989743,249.991529390396,12.2623969023789,117.011854498332,8,1.34521463408176,6.94655332807152,0.0030966456785408,6.94655332807152,0.0030966456785408,0,0,0,0,0,0,0.0893523644692898,13.1191513120163,35839828.5115919,0.110894091939693,0,74.5780613310429,0.708638181599516,20763806.8659486,0.00500181446414129,0.00524400868983221,32740452.1393682,35839828.5115919,74.5780613310429,0,263178736.110922,229583330.923199,33595405.1877228,6.83377175064101,0
2.46034271766809,4,0.208310656477533,2.22048569234031,0.562585845497249,0.990697836180756,1.38524896276963,137.795860986853,554.138808470869,190.967585839359,13.4126226926205,108.614483498036,9,1.21049809649815,4.72203826074392,0.00400688654632188,4.72203826074392,0.00400688654632188,0,0,0,0,0,0,0.0970842826732967,7.55290797806117,41973412.8853081,0.120100526785337,0,62.5243854130855,0.736758254437179,9410577.49779756,0.00299241261641436,0.00343928118071155,32180095.6824995,41973412.8853081,62.5243854130855,0,114857052.512215,88352944.540316,26504107.971899,3.33355661824168,0
2.35647465893163,7,0.270945788927366,3.87010159457663,0.596600207017513,1.00425482621441,1.31357036539942,144.408620185805,575.522016346498,249.921729481413,13.1472475275901,114.994549807309,9,1.34064195514548,6.5855235888469,0.00315018955771615,6.5855235888469,0.00315018955771615,0,0,0,0,0,0,0.0893872878838537,12.6617521990569,33392611.7890918,0.112974757730733,0,70.4495472900191,0.747710414528888,19884255.4103498,0.00500836849883456,0.00526151241604838,30372110.4047185,33392611.7890918,70.4495472900191,0,242251118.946417,208865982.310715,33385136.6357015,6.25625662670967,0
2.5,6,0.312368809452438,3.81112326508189,0.519834738321338,0.939879642869568,1.28288617284086,134.703840923805,573.774610512741,250,14.1165254354974,116.531624267347,9,1.2980598327605,6.02819414113794,0.00324423000111006,6.02819414113794,0.00324423000111006,0,0,0,0,0,0,0.0915757216640062,11.5476531023676,47277345.5351527,0.125461862711493,0,70.8427008311624,0.71634681819895,17585487.8693848,0.0050206856307373,0.00532802518236979,42244544.6916843,47277345.5351527,70.8427008311624,0,227038253.042337,195078087.696275,31960165.3460627,6.103788437387,0
