d_o_mm,n_orf,PF_tau,PF_gain,Cd0,CdInf,p_exp,Lori_mm,hA_W_perK,Dp_mm,d_w_mm,D_m_mm,n_turn,mu_ref,PF_t_on,f1,f2,PFA_w,IDR_w,pen,pen_dP,pen_Qcap,pen_cav,pen_T,pen_mu,x10_max_damperli,a10abs_max_damperli,dP95_worst,Qcap95_worst,cav_pct_worst,T_end_worst,mu_end_worst,PF_p95_worst,Q_q50_worst,Q_q95_worst,dP_orf_q50_worst,dP_orf_q95_worst,T_oil_end_worst,T_steel_end_worst,energy_tot_sum,E_orifice_sum,E_struct_sum,E_ratio,P_mech_sum
2.2890625,9,0.6740234375,4.126171875,0.603515625,0.8115234375,1.45078125,184.6875,629.1015625,203.0859375,11.25390625,100.6640625,10,1.8921875,2.20703125,3.92637623756982,0.00231962114431393,3.92637623756982,0.00231962114431393,0,0,0,0,0,0,0.0611130879845633,7.19792661224319,4498203.9706823,0.0747572493419841,0,71.6991916729502,1.03537573976302,11171756.4189337,0.0033055836664548,0.00347321709580887,1738194.64822406,4498203.9706823,71.6991916729502,0,132398980.086553,110667245.797561,21731734.2889926,5.09242586559764,0
2.31273092596822,9,0.411826461697044,3.9674861776327,0.788645829742716,1,1.24825025443232,178.690291531538,642.491184020138,188.046652000223,7.10773101470571,108.665775404512,12,1.76973348255454,2.60205848232463,3.70540338822669,0.00266121809870605,3.70540338822669,0.00266121809870605,0,0,0,0,0,0,0.0643678913459094,6.54530604527769,3824519.94973344,0.0531316698696333,0,55.7665521199642,1.17310093008842,9764375.93669047,0.00285079919314846,0.00304752350076607,1761668.16041901,3824519.94973344,55.7665521199642,0,61599470.2725828,40393621.3665006,21205848.9060821,1.90483397035405,0
2.24770209614136,9,0.456625394405614,3.84193360341384,0.745300503162042,0.950310168651645,1.08659850753309,172.2618442208,654.095721701116,193.058674136528,8.06701836088472,113.103355044127,13,1.61518423221214,2.45070164892215,3.71729407645931,0.00264527546136083,3.71729407645931,0.00264527546136083,0,0,0,0,0,0,0.0641654048117669,6.59552672902924,4509634.74893129,0.0614688923159403,0,59.392086394389,1.02317087485891,9875364.30660506,0.00300271818455199,0.00320539794669724,1826194.53309986,4509634.74893129,59.392086394389,0,78119262.0489489,56878388.2411317,21240873.8078172,2.6777800553666,0
2.2104247966741,8,0.548810108518432,3.09631580943256,0.763363702302841,0.870169353084739,1.14290491375485,157.270742040942,633.313060033295,176.946025619684,13.0295286923674,130.199068839684,12,1.25131696156488,2.03624047282576,3.56464481673973,0.00317283946205004,3.56464481673973,0.00317283946205004,0,0,0,0,0,0,0.0707355595372409,5.40244087132639,4515347.92117583,0.0697417667608007,0,57.8965704926984,0.815045071276304,7212336.8937775,0.00255153657703189,0.00283036837297671,2056833.44867029,4515347.92117583,57.8965704926984,0,65660950.4248736,46052333.7892897,19608616.6355839,2.34857637563877,0
2.30872246346637,9,0.706363304021828,3.59666520727279,0.693811490411492,0.876709082989228,1.20869014523355,161.613895935974,631.919810593972,187.290347922461,10.4148468400278,118.260639501236,12,1.83086872596294,2.2259043329223,3.68053997800768,0.00273179141130507,3.68053997800768,0.00273179141130507,0,0,0,0,0,0,0.0646230071484951,6.31936900334496,4368648.502875,0.0602034113498362,0,59.3099615184809,1.18430504110764,9174588.56659169,0.00282435002178597,0.00303876678450493,1870186.71643416,4368648.502875,59.3099615184809,0,72218384.4864504,51249544.3741447,20968840.1123057,2.44408103164793,0
2.19278408764275,10,0.614394926563039,4.14429752463457,0.707149116402321,0.852547089259366,1.24381231062521,179.246226230469,622.332812880917,207.598398833723,10.0692420751428,104.095414446227,11,1.73495041750153,2.217786569949,4.02436264742323,0.00221032166768505,4.02436264742323,0.00221032166768505,0,0,0,0,0,0,0.0596488854149304,7.42590860093728,4523106.20724002,0.0730922331894448,0,66.2914359740535,1.02308965279744,11673531.3532439,0.00346558522253388,0.0036226880190803,1719248.92283639,4523106.20724002,66.2914359740535,0,110180300.396868,88362274.724607,21818025.6722606,4.04996657589191,0
2.26554042643798,9,0.718153112815651,3.88326532790212,0.739863927871966,0.882914850965964,1.27377720919477,180.074737033606,614.167918722255,215.398649598082,10.6939153208706,108.514005477102,12,1.64632905206961,2.20481466684458,3.97373953740304,0.00226901081009236,3.97373953740304,0.00226901081009236,0,0,0,0,0,0,0.0604586559993328,7.28972283360316,4929975.43655152,0.0803579871009728,0,69.1529881409589,0.929402327602761,11432162.4973085,0.0037040060682811,0.00388163489722031,1877585.04754701,4929975.43655152,69.1529881409589,0,133511930.615138,111742985.947404,21768944.6677342,5.133137487966,0
2.28023023156119,9,0.619611099856326,4.11582827475221,0.816654387226548,0.882136603474612,1.27058434154799,184.498656472383,590.256519406255,227.729513673319,10.1801749212331,114.687473141758,11,1.72292000418433,2.23103915704278,4.13720566874636,0.00209898480489369,4.13720566874636,0.00209898480489369,0,0,0,0,0,0,0.0579314571323037,7.64787693336091,5168887.27192652,0.085584852860237,0,67.1691463045749,0.982582812855307,12125682.6392173,0.00415449456005307,0.00431989487468035,1911360.80771064,5168887.27192652,67.1691463045749,0,140616614.86477,118761285.305132,21855329.5596387,5.43397366674597,0
2.15082554553846,8,0.577738025468369,3.97560589878806,0.766679603993389,0.893123708802752,1.18555365777356,173.025416915789,638.140089368609,196.213505672327,9.48590356454923,113.044096337767,12,1.68110322069153,2.37978446036495,3.80761633125184,0.00245763415216883,3.80761633125184,0.00245763415216883,0,0,0,0,0,0,0.0618564394767921,7.08152592907683,4310468.46094661,0.0819175276875843,0,69.5588285435117,0.952527291399829,10912673.0263838,0.00308322981938664,0.0032480983165664,1661371.75123837,4310468.46094661,69.5588285435117,0,111646756.169069,90035366.9089788,21611389.2600905,4.16610731616621,0
2.2042045494955,10,0.615281240729812,4.09091785612533,0.772241943202439,0.886905361991058,1.22380696523725,177.449068689816,618.319036124325,226.335388599606,9.80612512864453,109.477259255395,11,1.64300768180146,2.20814306478647,4.15668944393971,0.0020641821612812,4.15668944393971,0.0020641821612812,0,0,0,0,0,0,0.0571929387031457,7.73645762539163,4998777.84937983,0.0816098411434619,0,69.4836102061101,0.92541624807736,12269580.2692654,0.00408033603887635,0.00423519408215354,1835777.04616567,4998777.84937983,69.4836102061101,0,145068445.487812,123203366.459922,21865079.0278897,5.63470940593319,0
2.31443559693963,9,0.713960238193364,4.40494614589524,0.80000814991529,0.910441056789487,1.20308428605141,180.189294144961,585.989433932445,205.3267669635,10.8902308691032,113.37979836444,11,1.7776793188215,2.26568215102598,3.93131689173395,0.00231240353639819,3.93131689173395,0.00231240353639819,0,0,0,0,0,0,0.0611197247495234,7.17841253882252,4567721.71083281,0.06781498411936,0,59.7361379827448,1.14593038586209,11255790.3553899,0.00337145636586883,0.00353965271685562,1758027.21508809,4567721.71083281,59.7361379827448,0,87810316.5408727,66066012.5167929,21744304.0240798,3.03831350240647,0
2.26426981217987,9,0.589521855533683,4.31788758155166,0.741300318154855,0.892506784570866,1.26424181620645,167.697355735444,615.676434909854,224.515844786856,10.3898620295283,112.486550421987,11,1.69492106740924,2.14660270649622,4.13193276307467,0.00209995528571374,4.13193276307467,0.00209995528571374,0,0,0,0,0,0,0.0579002454905781,7.60513998730519,5027983.59739196,0.0861345767500449,0,72.3986082407352,0.918003885254351,12104874.2753133,0.00404602974621423,0.00420794924316783,1864354.18990943,5027983.59739196,72.3986082407352,0,168208168.590038,146357613.412114,21850555.1779232,6.69811875352197,0
2.30811453011253,10,0.718530958463702,3.70281705752659,0.737884408118659,0.870842143250857,1.2447157809172,169.20333525762,606.017445092299,191.458379572175,10.318633635001,116.626540798221,12,1.61740113575094,2.19732233312295,3.6850670659199,0.0027248165842195,3.6850670659199,0.0027248165842195,0,0,0,0,0,0,0.0648462540619975,6.33629621576695,3807402.36239704,0.0571516021689107,0,54.9273144006948,1.08431509848461,9197654.90417366,0.00294638421017354,0.00316882861211449,1936614.90578691,3807402.36239704,54.9273144006948,0,62086519.2089245,41102983.5942594,20983535.6146651,1.9588206844195,0
2.13609944928615,10,0.664943817112604,4.16871482100832,0.776790204634505,0.866112814441724,1.18594506759437,180.321168649356,628.394841035889,224.25888334095,8.98948487704893,108.863419188194,10,1.73934578071474,2.20288776416451,4.23817671559704,0.00199737794573052,4.23817671559704,0.00199737794573052,0,0,0,0,0,0,0.0554668509983141,7.93785677678349,4749147.34224168,0.0854721850495155,0,71.8824398757606,0.951366477568707,12737228.4575307,0.0040024558220336,0.00414110645864582,1710292.9042515,4749147.34224168,71.8824398757606,0,146751569.932528,124896732.782622,21854837.1499057,5.71483246138767,0
2.22108363161599,10,0.625177274850236,4.09575071515801,0.759303383425139,0.870243002652473,1.23171854770563,176.760945496139,582.710514331869,225.560650083475,10.7985611410701,114.905246290776,10,1.68107369387311,2.20176351169581,4.1791471141397,0.00205111648339313,4.1791471141397,0.00205111648339313,0,0,0,0,0,0,0.0569562262761917,7.72907584736608,4967209.60546314,0.0833879481603126,0,70.5826437718767,0.939933530951291,12377093.5326823,0.0040788155158919,0.00423022354685004,1813884.45415408,4967209.60546314,70.5826437718767,0,148468163.035609,126609252.897861,21858910.1377481,5.79211187108638,0
2.25964782684183,10,0.582358671845007,4.42771912574116,0.804419914678914,0.897910922805068,1.2418574676837,178.758215520068,552.674099434495,227.241487204288,12.6875924790854,109.107045902454,8,1.70462537318281,2.2531410799322,4.20068476030491,0.00203389279467814,4.20068476030491,0.00203389279467814,0,0,0,0,0,0,0.0566429407105147,7.79876712099907,4961941.54106245,0.077739522419154,0,65.2332726502018,1.00762462716665,12395249.3428415,0.00411559833204101,0.00426721799992243,1818755.85793671,4961941.54106245,65.2332726502018,0,129256512.880593,107405883.855192,21850629.0254004,4.91545958381051,0
2.28342176804818,10,0.694840338185659,4.17860923949393,0.799430240516559,0.878941652769303,1.23045682807292,187.381111613636,608.564456150331,236.361239641316,10.8565315435168,116.844766610591,11,1.75295936442162,2.21582166518248,4.23288894311158,0.00200211620814432,4.23288894311158,0.00200211620814432,0,0,0,0,0,0,0.0556841312564659,7.90405491395371,5279935.69354773,0.0820089579283146,0,67.0289764535917,1.01332711887162,12682580.652113,0.00444402302638215,0.00459933511327885,1892667.53934608,5279935.69354773,67.0289764535917,0,146017282.399546,124187416.861472,21829865.5380742,5.688876857481,0
2.2654277216286,8,0.460838589213013,3.96187426694525,0.763269201506515,0.945883547796336,1.20474453311465,176.384546653601,641.640188030481,190.403625608112,8.82949881830425,108.435133302135,12,1.76235145495507,2.46959038231583,3.72912185859603,0.00259624705446836,3.72912185859603,0.00259624705446836,0,0,0,0,0,0,0.0635481563229018,6.70305538484426,4277922.86406144,0.0667381832805819,0,62.5275054436375,1.07439554226052,10117543.9801165,0.00290707193911941,0.00309348792490722,1722261.0479278,4277922.86406144,62.5275054436375,0,85357241.0336443,64008308.7483901,21348932.2852542,2.99819718818448,0
2.23920512446347,9,0.576458899610809,4.03857507688664,0.773223332614555,0.890852350307921,1.20198229819966,177.826962089357,630.022223951105,202.404401339001,10.2275347932344,112.111228097916,11,1.7280187543637,2.34210144329832,3.89730108319382,0.00234833428621498,3.89730108319382,0.00234833428621498,0,0,0,0,0,0,0.0617890291105604,7.06618290231364,4504943.72255411,0.0706501646764744,0,62.5585519986249,1.07396199811309,10950703.8623185,0.00327622594976547,0.00345148624625822,1753202.98463142,4504943.72255411,62.5585519986249,0,92914672.7850174,71230943.1260314,21683729.658986,3.28499498224063,0
2.20298736283623,10,0.633955865434655,4.38983196687534,0.807680961220211,0.880534947004685,1.26266455979349,187.900565778893,629.013097756108,230.973756329181,10.6894380074333,108.685237733157,11,1.73282267854704,2.16675382890767,4.31018322936918,0.00192363878043271,4.31018322936918,0.00192363878043271,0,0,0,0,0,0,0.0541581565832457,8.08008255013123,4862665.5591043,0.0854984430175448,0,69.8146328513421,0.977287463769857,13022330.8520154,0.0042523729870768,0.004387141642112,1729716.65069311,4862665.5591043,69.8146328513421,0,148993819.54274,127191657.091307,21802162.4514327,5.83390098916306,0
2.17328153757037,9,0.622062106591034,4.00775786697447,0.788814552716097,0.872775193872301,1.21634798160583,183.009541466602,597.198390485062,212.465182786908,11.0309082453507,112.978985101666,11,1.74484345499742,2.17563173842898,4.10331480373165,0.00212506124139242,4.10331480373165,0.00212506124139242,0,0,0,0,0,0,0.0581472016509233,7.62066827943963,4522224.60112328,0.0857516512460059,0,71.6210634519755,0.954604617860109,12098570.1624111,0.00359300419547528,0.00373918187475602,1679649.201077,4522224.60112328,71.6210634519755,0,130042428.318895,108181560.641696,21860867.6771997,4.94863983621868,0
2.2016334469263,10,0.642433533353692,4.25679295965328,0.823206371530066,0.898365292503435,1.2753087618722,190.763605985061,560.486285319442,229.421020612411,10.6066631788614,110.554992933363,8,1.68370144356795,2.22312212900259,4.26717385678749,0.00196515061532022,4.26717385678749,0.00196515061532022,0,0,0,0,0,0,0.0548941517670192,7.97181153638934,4881013.14878787,0.0823609000744289,0,68.8590100178974,0.961232581338678,12880768.6881021,0.00418221167436815,0.00432219514873325,1751963.50073904,4881013.14878787,68.8590100178974,0,139734290.393655,117894928.611988,21839361.7816661,5.39827719283262,0
2.23943682267912,9,0.600881100820335,3.30666282116084,0.756907297444358,0.880845115667233,1.15054855895925,166.882530576121,625.946800191587,179.236499754096,12.001007797291,127.004895989795,11,1.50486488392525,2.15199509105435,3.60047212531664,0.00299785222089123,3.60047212531664,0.00299785222089123,0,0,0,0,0,0,0.0673590761307608,5.78893732161961,3760108.13953971,0.0589279386267668,0,55.5791956675304,1.00796713447514,8083802.84439699,0.0025996392988387,0.00284647178515682,1932523.36457261,3760108.13953971,55.5791956675304,0,55858380.2203874,35608965.1918657,20249415.0285217,1.75851821604277,0
2.26543892452639,9,0.709832869844535,4.01440536074963,0.645853032060332,0.849761367784843,1.31127597468257,179.267237762348,628.710889762075,204.212322173559,11.152064358729,103.686059425119,10,1.67383231192353,2.22811069825001,3.87554106801623,0.00237898548506767,3.87554106801623,0.00237898548506767,0,0,0,0,0,0,0.0618142326780995,7.05533443253215,4613944.56681068,0.0754781988795873,0,69.6559210934003,0.923345597282445,10895142.4565702,0.00334127072701408,0.003521627494127,1799907.55524409,4613944.56681068,69.6559210934003,0,127334528.623432,105694470.833541,21640057.7898903,4.88420464768439,0
2.23633857454927,9,0.571465411929036,3.18717325661317,0.759464960679681,0.895767387159531,1.15056456262943,170.257597787842,609.253170165622,177.898947803351,11.9515973257967,115.996547808285,11,1.49732501290918,2.14286971464463,3.594060912582,0.00302698111330001,3.594060912582,0.00302698111330001,0,0,0,0,0,0,0.0678692066782083,5.72369155553847,3688931.38290078,0.0571069208174502,0,55.9199899822692,1.00351138887083,7933333.91694887,0.00257279418674441,0.00282120220917507,1940214.19857567,3688931.38290078,55.9199899822692,0,54569239.8303358,34418139.2916818,20151100.538654,1.7080029562485,0
2.24141508988865,10,0.633761351058355,4.0533561144555,0.782120353467472,0.890885132148429,1.22145750108557,179.511989564713,613.115197707033,211.977716531834,10.6666826696974,109.657665446225,11,1.68768151668942,2.20414049666836,3.99874885711952,0.00224410991836328,3.99874885711952,0.00224410991836328,0,0,0,0,0,0,0.0602009263449685,7.36496433705391,4765411.0639431,0.0695090827644268,0,61.8040310719094,1.05356099189901,11482740.5660945,0.00360253649702599,0.0037730452772325,1821359.02960023,4765411.0639431,61.8040310719094,0,96914984.658293,75115769.7925219,21799214.8657711,3.44580161510624,0
2.25264212504296,10,0.581531647755549,4.07771945324487,0.787324984598738,0.889284161309122,1.22945081204948,175.392525557836,629.18959207617,208.634919991444,10.5175021912315,112.387813838121,11,1.73321977554398,2.33523085272196,3.9790023673398,0.00226781133293219,3.9790023673398,0.00226781133293219,0,0,0,0,0,0,0.0606093569499893,7.27953849445734,4682889.47785019,0.0676930237281996,0,60.461516058491,1.10364250687097,11358451.6738168,0.00350325404894039,0.00367446718215053,1800201.83442766,4682889.47785019,60.461516058491,0,89111967.4697345,67345622.7661548,21766344.7035797,3.09402537188888,0
