d_o_mm,n_orf,PF_tau,PF_gain,Cd0,CdInf,p_exp,Lori_mm,hA_W_perK,Dp_mm,d_w_mm,D_m_mm,n_turn,mu_ref,A_o,Qcap_big
2,6,0.12,2.13861335736052,0.588912717030077,0.875258971948585,1.46073444756162,177.652873807792,547.609420270011,195,14.4186522338493,117.274557059243,11,1.57731351753804,1.88495559215388e-05,0.0253071494212343
2.00007092329826,6,0.119909772290453,2.18196222642862,0.585910055768439,0.859575394546092,1.48670638460932,179.506321214135,534.131590385506,194.969692085801,13.4987906601654,116.384651422397,10,1.58944563414523,1.88508928179193e-05,0.0248554387858516
2.10980815100434,5,0.118687591179735,1.9759212119278,0.531831686007448,0.831940225408947,1.20516798245178,141.697164588658,625.626352737966,194.061595737891,14.6807231241432,115.454433701631,11,1.14723880536084,1.74801766582353e-05,0.0223071185788539
2.0389163441148,6,0.119302366208423,2.09860910850483,0.558319937020692,0.882043253403385,1.39913715966701,173.533924789193,572.375659585959,194.610883394151,14.1128779617761,116.605156562608,13,1.40527222677725,1.95902485537229e-05,0.0265054610906341
2.01239044864899,6,0.119316295333059,2.10348463954535,0.584567572730775,0.876422053936405,1.38970115565714,173.680552516735,553.897936667544,194.911405328227,14.135424789948,116.628405935406,13,1.51167491977367,1.90838338373602e-05,0.0256557348723711
2.00945997715301,7,0.119890488901936,2.181968185261,0.597601624459038,0.87178358802821,1.49996641413367,179.561075630071,548.313693633748,194.796366743231,13.9871035127792,115.961557304352,12,1.57070355689342,2.21996763416093e-05,0.0296866277364056
2.23629260492226,5,0.118946432755713,1.78449377146065,0.527554302147345,0.905262689020167,1.22897194509469,150.755654606922,685.600802236769,187.452110251058,13.2330601093944,122.046770479747,11,1.06865939213177,1.96388991981482e-05,0.027270763496043
2.10046867304671,5,0.11925326309528,2.17203359667845,0.557376105891125,0.874780692824814,1.25264772129809,160.178876511429,602.645965247414,194.866735858031,14.2645594760636,116.109607891884,12,1.26575887082651,1.73257603594471e-05,0.0232486118836537
2.14326624763389,5,0.119378365903524,2.00411718619866,0.556119195100111,0.852799422422433,1.12747557227399,147.76769749285,626.07215144162,194.735991043074,14.9600069979337,116.812053531854,13,1.11147359578448,1.80389865647872e-05,0.0235974224565563
2,6,0.12,2.1193253885408,0.556123476524301,0.874873548839392,1.49097136323793,165.259348582712,606.812968097742,195,12.5377986395991,128.380487738792,10,1.44840495820588,1.88495559215388e-05,0.0252960053364236
