d_o_mm,n_orf,g_lo,g_mid,g_hi,PF_tau,PF_gain,A_o,Qcap_big
3.1,6,3.95,3.875,1.7625,1.00625,0.885,4.52860581014969e-05,0.0555725136748095
3.16850890306348,6,3.88079738453,3.89959743773255,1.76860766002953,1.00909229069709,0.891969674241355,4.73097872759555e-05,0.0580559207527595
3.52765738674385,5,3.98154663970647,3.99749819069934,2.77015199707746,1.01752084788951,0.894515080195387,4.88689135116241e-05,0.0599691931302814
3.08079653875024,6,3.9212202939007,3.88680367250154,1.95019439914724,1.01036248996949,0.891509654458107,4.47267319920526e-05,0.0548861400055424
3.29250856955481,6,3.87730239010401,3.87954664817785,1.73257429262909,0.970030058275766,0.88221138337765,5.10851837366395e-05,0.0626888757997401
3.31838635216595,6,3.74835821052272,3.8687498159637,1.57824136887547,0.968999266560727,0.832482022877968,5.18913571029481e-05,0.06367816659478
3.49242236910856,6,3.80498693968663,3.86378899951979,1.70795719759911,0.968071548892918,0.855752962403,5.74770743872247e-05,0.0705326459462036
3.42139448218692,6,3.9609171941303,3.95388092454708,2.07399364375523,0.986201783135545,0.893181963270798,5.51629436164299e-05,0.0676928742969013
3.46090477183324,6,3.81152350657609,3.84405748477578,1.56718066573369,0.973927122622118,0.823846922793757,5.64443441419636e-05,0.0692653372405412
3.52765738674385,5,3.98154663970647,3.99749819069934,2.14515199707746,1.01752084788951,0.894515080195387,4.88689135116241e-05,0.0599691931302814
