d_o_mm,n_orf,g_lo,g_mid,g_hi,PF_tau,PF_gain,A_o,Qcap_big
3.3,5,3.75,3.85,1.6,0.97,0.84,4.27649299969911e-05,0.0524787264931213
3.35,6,3.9446279499245,3.95,1.81148803103281,0.99792182599847,0.9,5.28847853323672e-05,0.0648972460682153
3.27848404943775,6,3.9,3.92513395116144,1.65,0.972786464642366,0.896330635438666,5.06509134445087e-05,0.0621559636241228
3.28991475894834,5,3.79470496841134,3.8602103665282,1.60549973290912,0.97,0.852488340947201,4.25039387360429e-05,0.0521584526378536
3.40313393580059,6,3.99342080839054,3.99412368766114,1.87761608767432,1.00098914013528,0.9,5.4575687503045e-05,0.0669722264913768
3.41432451031714,6,3.88179563920031,3.98690931381615,1.64936716937873,0.989705004171634,0.853027771446397,5.49352016749237e-05,0.0674134021438974
